phone_number,consumption,uid,weight,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,cont15,cont16,cont17,cont18,cont19,pmt,rural_pmt,ppi,assetindex,milieu,region,prefecture,canton,voter_region,voter_prefecture,voter_canton,formal_occupation,occupation_poverty,age,age_group,gender,ethnicity,religion,children,disability,marital_status,any_vulnerability,fsec,own_phone
A1NMU6IWZ8BEULJ,797.4863510244709,0,3.977433452315271,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,group2,group0,group6,group3,group1,group0,group3,group1,group7,group0,3.5907001001622385,4.753992912491355,1.3671900782811104,3.794961639841313,0.08686391528791282,0.9723297901202677,4.583500627780249,0.47608444445476794,6.650642558295244,2.568657415108673,3.0712628855476263,3.1764946155729934,0.920142538271981,5.724731225026323,2.2984993734065178,6.9365990020465595,1.1926777659728653,3.863312064466618,6.725308618468079,3.959949919369562,1300.0600353525545,1221.2920858448294,1642.5501312436108,1372.9813639013955,urban,PLATEAUX,OTI-SUD,38,SAVANES,MOYEN-MONO,330,0,1,50,<30,M,Moba,Other/No Religion,0,Yes,Marriage (Polygomous),No,1,1
VFGMTM0YN88U417,1939.5575476018637,1,5.660743108346109,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,group2,group0,group0,group5,group1,group4,group4,group0,group3,group1,7.899118864087472,4.154954027306186,1.4297930019238891,3.259006926792093,0.20459765530236684,1.0915958820543314,2.468215071161275,3.8043896046306376,4.6884154055842915,4.180253224816504,0.10098858640775488,2.36509078006158,1.987797912463673,2.2028755114851504,2.655144876189889,0.9736896749660282,2.833538010250302,0.4928246892599969,5.874970607973891,0.8074753366388294,2493.3576757021074,2471.2526479637136,2375.9946430295427,2300.4989436939795,rural,SAVANES,DANYI,242,CENTRALE,TCHAOUDJO,197,0,4,74,<30,M,Moba,Christian,0,Yes,Single,Yes,2,1
MOD809IE6R7EYC4,861.3590079570988,2,3.6942514594253786,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,group1,group0,group5,group0,group1,group3,group5,group2,group5,group0,5.427831837202127,3.0089306379499705,6.566260496805354,2.0902684354617738,0.8786485556239784,1.4349939148136024,1.440466953588314,6.180292586732706,3.3123953818882352,3.2888808534069325,1.5514305781044162,2.2845297564706724,1.480307978972175,0.4121918755756543,0.6894590274647171,8.807798839348775,3.710962000643426,4.740150157288307,4.408455159329266,2.798206848458626,1205.6424786314385,1323.990286256959,1516.4348973444655,1771.9084484202351,urban,CENTRALE,BINAH,73,SAVANES,KERAN,319,0,10,50,30-40,M,Kabyè,Muslim,1-2,Yes,Divorced/Separated,No,7,0
SQUD25WWUMYRMIF,2530.9066731495304,3,2.140184330971286,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,group6,group1,group4,group5,group1,group2,group2,group0,group3,group1,8.17077009598748,4.914863220056222,5.4029398427041215,3.3893390546812707,0.8672367613822616,0.39399322069794085,0.6760041190335606,5.615246776119658,6.705994168027891,4.409618426355451,2.7189487468353573,0.419239291746202,0.6576960707134232,2.4322475702305533,0.6173828329200264,2.474429261091869,0.8312532847610377,1.2551996334170068,2.311682152588089,0.2818485539821305,2989.978453364979,2965.353133463636,3443.695964761727,2770.6250094227707,urban,KARA,BLITTA,262,SAVANES,KPENDJAL,76,1,9,62,60+,M,Other,Animist,3-4,Yes,Marriage (Monogomous),Yes,1,0
B0CYBBXTF47JE83,880.3132889463716,4,4.564814601165174,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,group2,group1,group6,group2,group0,group4,group6,group2,group7,group0,3.3793802554633423,0.4640941577331359,3.4262575324988696,0.5972574749743519,0.4804324816726149,1.0181044714670715,4.01141919650206,3.892604040275083,1.8891438303937917,4.84059356998946,2.431410957037811,1.9687455329830867,1.3723369463701578,4.44612176061622,0.12488180736442223,5.103922734698859,1.8883995434431022,2.547662907233723,5.122590938524882,1.3792637530282943,1342.0003804831333,1162.5744332227496,1807.6818420351337,1882.9427019632135,rural,PLATEAUX,DANKPEN,207,PLATEAUX,DANYI,181,0,1,96,30-40,F,Kotokoli,Muslim,1-2,Yes,Single,Yes,3,0
HQ1AH8EJLYFT2N3,1876.1181602765828,5,3.6078674569790157,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,group4,group1,group3,group2,group0,group4,group3,group2,group8,group1,7.834816083173989,4.352198699353056,5.442228812594847,0.715677216000073,0.7260031112391293,0.5331239263696332,1.2617186226167272,5.593488626499483,1.749089623884191,0.22919685440750903,0.4308232252199078,0.49074158930038125,1.7276022438896343,2.4750073016478034,2.3903220551892237,1.4228551853601012,4.067040869673984,0.6976125365177888,7.343773338614755,1.1089737802553703,2227.322533998233,1968.6478132653208,2076.5157907304333,2149.6477202903434,urban,CENTRALE,AVE,134,CENTRALE,ANIE,154,0,2,40,40-50,F,Kotokoli,Other/No Religion,0,Yes,Divorced/Separated,No,2,0
SSCMQ9O7U6EWDSC,118.76801630257187,6,3.527365843097855,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,group2,group2,group5,group1,group0,group1,group2,group2,group2,group0,2.0093463888146754,4.983577997317882,6.797895533056218,1.7993144615128331,0.31772189931175443,0.6120277895673019,0.9827099600779077,5.773356095033166,6.0736046992415424,0.5693221961156752,2.333100533491633,0.974302736356012,0.2976083816089612,1.7676876600389229,2.007268366937978,8.132933356274982,2.607270451789363,2.478348936849005,6.924002664300838,2.609538396227065,794.2600331228267,266.9335906887547,1005.2379286572703,446.5071231707131,urban,CENTRALE,GOLFE,342,KARA,TCHAMBA,43,0,4,27,50-60,F,Kotokoli,Animist,5+,Yes,Divorced/Separated,Yes,6,1
XNAB4VCWSBG7YXQ,2435.133596007312,7,1.6824225662777188,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,group3,group2,group3,group3,group0,group2,group4,group2,group2,group0,2.801284758573183,4.57862952839937,3.593407539061068,4.944291398413433,0.9845814291597331,0.31156899300632945,4.2304126477105255,6.08403752002522,6.110319983950172,2.912940543157277,3.7031454672723907,1.6231645804635697,1.7699035762682023,3.3056960613784545,0.8154978547583388,1.8488070827179106,1.858854852798516,3.2915688974241974,0.4936188948656328,1.851591581760839,2620.523423654495,2676.436340679479,3433.925368253024,3852.7134143682365,urban,KARA,AGOE-NYIVE,145,PLATEAUX,OTI-SUD,296,0,9,74,30-40,M,Ewé,Christian,1-2,Yes,Divorced/Separated,No,2,1
O7ULRQZ9B36TZ6I,2228.0344727218608,8,1.7245973095225522,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,group0,group2,group2,group5,group1,group2,group5,group2,group1,group1,7.444802492644879,0.14990893792659998,4.316852677667971,6.830326152490998,0.8002195210713411,0.6001172693435908,6.818966822051874,4.282398946918677,5.1147836305897245,3.3663191161824364,1.6651118695481237,2.6553814706667773,1.6964573872988984,3.334301797628995,1.5927109232224148,7.3410755519091575,0.7665478749399884,0.7550690969957141,3.8094915935721865,0.2123914071995232,2400.6801158146654,2232.566096228964,2801.6619985958555,2766.1131221217447,urban,SAVANES,HAHO,130,KARA,TCHAMBA,132,0,3,50,50-60,M,Moba,Muslim,0,Yes,Widow/Widower,Yes,5,1
SUBIQN01D2OEW74,2147.763694067189,9,5.648025571751223,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,group3,group0,group5,group1,group1,group2,group6,group0,group1,group0,5.018604326352817,1.1454067419775549,6.2491295137037515,3.4181107483176723,0.8044359993772915,1.615648917438117,0.11976384718259947,1.3982258503235507,5.804938418469563,1.0567447289907406,0.4637739179908329,0.7162534491766595,1.3713084369344435,5.233982242295646,2.594890378697491,8.065223929477948,4.89803021479306,1.6034663292973428,7.2656138370777095,1.2709235449020584,2875.9095325238086,2339.6930516819743,2344.5966344488747,3465.5170580685262,rural,SAVANES,AGOU,72,SAVANES,ANIE,240,0,2,69,50-60,M,Other,Muslim,0,Yes,Widow/Widower,Yes,4,1
