phone_number,pmt,uid,weight,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,cont15,cont16,cont17,cont18,cont19,milieu,region,prefecture,canton,voter_region,voter_prefecture,voter_canton,formal_occupation,occupation_poverty,responded,draw_probability,response_probability
TT5CWSNUDOVZZI3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5231131762597115,0.5611525412375771
C9AB6NZMLE1XABM,1685.3992042434456,1,1.454624208323458,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,group7,group5,group7,group6,group0,group1,group0,group6,group4,group2,0.47719277325253995,0.3591143544131994,6.042330120558958,5.953293085079433,1.757013764235459,1.690744602459179,5.870115498531553,6.7380745068252486,0.013569426645740568,3.8710071886417756,0.3693807901024082,1.3508182671947007,0.8761296368344113,1.0791253628824942,3.978563512135551,5.1187494799944435,1.6725251855440133,1.5687603101942367,0.6363950381529859,7.986996301045665,urban,SAVANES,DANYI,242.0,CENTRALE,TCHAOUDJO,197.0,1.0,9.0,1,0.019779079594090532,0.8828209109618368
P7GQAWRUU115T75,5840.932006079557,2,1.3287470438773343,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,group2,group5,group4,group3,group1,group3,group1,group7,group4,group2,0.37649127943681027,0.2345809142657077,5.481864066380962,5.943708513481308,0.8549671963188179,4.140613590462272,3.88204640276523,7.593529457778213,2.803547949870696,2.1940568833256258,1.3622946934879092,1.0266691731707773,3.367014081005513,0.8752006275747881,2.332823124194312,1.3849344817686697,3.1161866305605956,1.5152709017546477,4.508896496715787,2.731717043980333,rural,CENTRALE,BINAH,73.0,SAVANES,KERAN,319.0,0.0,7.0,1,0.22269187809423496,0.587735328564503
33H9X285RT1G7Q6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7975184534694094,0.7680192994222037
P5WGVJZUXN9PO2M,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.4814233126123212,0.7049941361843729
8SSIVWQ3PM2GG0J,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7220240455111319,0.7363160789764894
72MC3X8LQF0C9S0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42123558120202165,0.4930966718650387
APACBLEQVEWM8SZ,8360.088812467382,7,4.507743992643668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,group1,group5,group3,group3,group2,group2,group3,group7,group2,group2,0.0574783449817331,0.3886653801772997,4.5891815468890815,7.564848366488135,3.99465435980743,4.211819224619541,3.0377947345180276,6.023941438071926,2.2729906131218103,3.611993999647709,1.4383945555542321,0.60031452101405,4.5164663532568365,1.6472663988975826,7.260746526443233,3.5457339018439846,4.1892826262330525,2.1422925892622304,3.696066637048479,5.565038709058632,rural,KARA,AGOE-NYIVE,145.0,PLATEAUX,OTI-SUD,296.0,1.0,9.0,1,0.853503965958615,0.6226068466502165
MJ2WBH099SR571S,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9456631986492451,0.074410281829969
7FRTS4M1HNW1BST,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3254882215852942,0.7473656512311355
